n,d,coord1,coord2,sim,theta_star_coord1,theta_star_coord2,covered
1000,2,-0.132,0.003,1,0,0,1
1000,2,-0.132,0.004,1,0,0,1
1000,2,-0.132,0.005,1,0,0,1
1000,2,-0.132,0.00600000000000001,1,0,0,1
1000,2,-0.132,0.00700000000000001,1,0,0,1
1000,2,-0.132,0.00800000000000001,1,0,0,1
1000,2,-0.132,0.00900000000000001,1,0,0,1
1000,2,-0.132,0.01,1,0,0,1
1000,2,-0.132,0.011,1,0,0,1
1000,2,-0.132,0.012,1,0,0,1
1000,2,-0.132,0.013,1,0,0,1
1000,2,-0.132,0.014,1,0,0,1
1000,2,-0.131,-0.04,1,0,0,1
1000,2,-0.131,-0.039,1,0,0,1
1000,2,-0.131,-0.038,1,0,0,1
1000,2,-0.131,-0.037,1,0,0,1
1000,2,-0.131,-0.036,1,0,0,1
1000,2,-0.131,-0.035,1,0,0,1
1000,2,-0.131,-0.034,1,0,0,1
1000,2,-0.131,-0.033,1,0,0,1
1000,2,-0.131,-0.032,1,0,0,1
1000,2,-0.131,-0.031,1,0,0,1
1000,2,-0.131,-0.03,1,0,0,1
1000,2,-0.131,-0.029,1,0,0,1
1000,2,-0.131,-0.028,1,0,0,1
1000,2,-0.131,-0.027,1,0,0,1
1000,2,-0.131,-0.026,1,0,0,1
1000,2,-0.131,-0.025,1,0,0,1
1000,2,-0.131,-0.024,1,0,0,1
1000,2,-0.131,-0.023,1,0,0,1
1000,2,-0.131,-0.022,1,0,0,1
1000,2,-0.131,-0.021,1,0,0,1
1000,2,-0.131,-0.02,1,0,0,1
1000,2,-0.131,-0.019,1,0,0,1
1000,2,-0.131,-0.018,1,0,0,1
1000,2,-0.131,-0.017,1,0,0,1
1000,2,-0.131,-0.016,1,0,0,1
1000,2,-0.131,-0.015,1,0,0,1
1000,2,-0.131,-0.014,1,0,0,1
1000,2,-0.131,-0.013,1,0,0,1
1000,2,-0.131,-0.012,1,0,0,1
1000,2,-0.131,-0.011,1,0,0,1
1000,2,-0.131,-0.01,1,0,0,1
1000,2,-0.131,-0.00900000000000001,1,0,0,1
1000,2,-0.131,-0.00800000000000001,1,0,0,1
1000,2,-0.131,-0.00700000000000001,1,0,0,1
1000,2,-0.131,-0.00600000000000001,1,0,0,1
1000,2,-0.131,-0.005,1,0,0,1
1000,2,-0.131,-0.004,1,0,0,1
1000,2,-0.131,-0.003,1,0,0,1
1000,2,-0.131,-0.002,1,0,0,1
1000,2,-0.131,-0.001,1,0,0,1
1000,2,-0.131,0,1,0,0,1
1000,2,-0.131,0.001,1,0,0,1
1000,2,-0.131,0.002,1,0,0,1
1000,2,-0.131,0.003,1,0,0,1
1000,2,-0.131,0.004,1,0,0,1
1000,2,-0.131,0.005,1,0,0,1
1000,2,-0.131,0.00600000000000001,1,0,0,1
1000,2,-0.131,0.00700000000000001,1,0,0,1
1000,2,-0.131,0.00800000000000001,1,0,0,1
1000,2,-0.131,0.00900000000000001,1,0,0,1
1000,2,-0.131,0.01,1,0,0,1
1000,2,-0.131,0.011,1,0,0,1
1000,2,-0.131,0.012,1,0,0,1
1000,2,-0.131,0.013,1,0,0,1
1000,2,-0.131,0.014,1,0,0,1
1000,2,-0.131,0.015,1,0,0,1
1000,2,-0.131,0.016,1,0,0,1
1000,2,-0.13,-0.042,1,0,0,1
1000,2,-0.13,-0.041,1,0,0,1
1000,2,-0.13,-0.04,1,0,0,1
1000,2,-0.13,-0.039,1,0,0,1
1000,2,-0.13,-0.038,1,0,0,1
1000,2,-0.13,-0.037,1,0,0,1
1000,2,-0.13,-0.036,1,0,0,1
1000,2,-0.13,-0.035,1,0,0,1
1000,2,-0.13,-0.034,1,0,0,1
1000,2,-0.13,-0.033,1,0,0,1
1000,2,-0.13,-0.032,1,0,0,1
1000,2,-0.13,-0.031,1,0,0,1
1000,2,-0.13,-0.03,1,0,0,1
1000,2,-0.13,-0.029,1,0,0,1
1000,2,-0.13,-0.028,1,0,0,1
1000,2,-0.13,-0.027,1,0,0,1
1000,2,-0.13,-0.026,1,0,0,1
1000,2,-0.13,-0.025,1,0,0,1
1000,2,-0.13,-0.024,1,0,0,1
1000,2,-0.13,-0.023,1,0,0,1
1000,2,-0.13,-0.022,1,0,0,1
1000,2,-0.13,-0.021,1,0,0,1
1000,2,-0.13,-0.02,1,0,0,1
1000,2,-0.13,-0.019,1,0,0,1
1000,2,-0.13,-0.018,1,0,0,1
1000,2,-0.13,-0.017,1,0,0,1
1000,2,-0.13,-0.016,1,0,0,1
1000,2,-0.13,-0.015,1,0,0,1
1000,2,-0.13,-0.014,1,0,0,1
1000,2,-0.13,-0.013,1,0,0,1
1000,2,-0.13,-0.012,1,0,0,1
1000,2,-0.13,-0.011,1,0,0,1
1000,2,-0.13,-0.01,1,0,0,1
1000,2,-0.13,-0.00900000000000001,1,0,0,1
1000,2,-0.13,-0.00800000000000001,1,0,0,1
1000,2,-0.13,-0.00700000000000001,1,0,0,1
1000,2,-0.13,-0.00600000000000001,1,0,0,1
1000,2,-0.13,-0.005,1,0,0,1
1000,2,-0.13,-0.004,1,0,0,1
1000,2,-0.13,-0.003,1,0,0,1
1000,2,-0.13,-0.002,1,0,0,1
1000,2,-0.13,-0.001,1,0,0,1
1000,2,-0.13,0,1,0,0,1
1000,2,-0.13,0.001,1,0,0,1
1000,2,-0.13,0.002,1,0,0,1
1000,2,-0.13,0.003,1,0,0,1
1000,2,-0.13,0.004,1,0,0,1
1000,2,-0.13,0.005,1,0,0,1
1000,2,-0.13,0.00600000000000001,1,0,0,1
1000,2,-0.13,0.00700000000000001,1,0,0,1
1000,2,-0.13,0.00800000000000001,1,0,0,1
1000,2,-0.13,0.00900000000000001,1,0,0,1
1000,2,-0.13,0.01,1,0,0,1
1000,2,-0.13,0.011,1,0,0,1
1000,2,-0.13,0.012,1,0,0,1
1000,2,-0.13,0.013,1,0,0,1
1000,2,-0.13,0.014,1,0,0,1
1000,2,-0.13,0.015,1,0,0,1
1000,2,-0.13,0.016,1,0,0,1
1000,2,-0.13,0.017,1,0,0,1
1000,2,-0.13,0.018,1,0,0,1
1000,2,-0.129,-0.044,1,0,0,1
1000,2,-0.129,-0.043,1,0,0,1
1000,2,-0.129,-0.042,1,0,0,1
1000,2,-0.129,-0.041,1,0,0,1
1000,2,-0.129,-0.04,1,0,0,1
1000,2,-0.129,-0.039,1,0,0,1
1000,2,-0.129,-0.038,1,0,0,1
1000,2,-0.129,-0.037,1,0,0,1
1000,2,-0.129,-0.036,1,0,0,1
1000,2,-0.129,-0.035,1,0,0,1
1000,2,-0.129,-0.034,1,0,0,1
1000,2,-0.129,-0.033,1,0,0,1
1000,2,-0.129,-0.032,1,0,0,1
1000,2,-0.129,-0.031,1,0,0,1
1000,2,-0.129,-0.03,1,0,0,1
1000,2,-0.129,-0.029,1,0,0,1
1000,2,-0.129,-0.028,1,0,0,1
1000,2,-0.129,-0.027,1,0,0,1
1000,2,-0.129,-0.026,1,0,0,1
1000,2,-0.129,-0.025,1,0,0,1
1000,2,-0.129,-0.024,1,0,0,1
1000,2,-0.129,-0.023,1,0,0,1
1000,2,-0.129,-0.022,1,0,0,1
